mode,profile,motion,candidate,frames,cpu_median_ms,cpu_p95_ms,gpu_median_ms,gpu_p95_ms,frame_interval_p95_ms,draw_calls_median,texture_uploads_median,idle_renders
grid,desktop-1x,pan,texture,360,0.20499999821186066,0.28025000095367436,0.747395,0.8747184,16.670000000000073,1,0,0
grid,desktop-1x,pan,shader,360,0.1600000038743019,0.2149999961256981,0.694713,0.8047911,16.670000000000073,1,0,0
grid,desktop-1x,pan,baseline,360,3.5899999998509884,5.309499999508263,0.817578,1.64400485,16.670000000000073,1,0,0
grid,desktop-1x,zoom,texture,360,0.3149999976158142,0.4202500015497208,0.7168745000000001,0.82935325,16.670000000000073,1,1,0
grid,desktop-1x,zoom,shader,360,0.1600000038743019,0.2150000035762787,0.694947,0.79657525,16.670000000000073,1,0,0
grid,desktop-1x,zoom,baseline,360,1.1200000010430813,2.2000000029802322,0.5487755,0.6660280500000001,16.670000000000073,1,0,0
grid,desktop-2x,pan,texture,360,0.1899999976158142,0.24499999731779099,5.386119,6.95281695,50,1,0,0
grid,desktop-2x,pan,shader,360,0.14999999850988388,0.2049999985843897,2.682994,4.51974715,50,1,0,0
grid,desktop-2x,pan,baseline,360,3.737500000745058,5.745500002056361,3.2096085,4.97207005,50,1,0,0
grid,desktop-2x,zoom,texture,360,0.3799999952316284,0.4802500039339066,3.162031,5.0315669000000005,50,1,1,0
grid,desktop-2x,zoom,shader,360,0.15000000596046448,0.19999999552965164,2.745911,4.65642375,50,1,0,0
grid,desktop-2x,zoom,baseline,360,1.27250000461936,2.7125000007450586,2.0145565000000003,3.7721612,50,1,0,0
grid,phone-3x,pan,texture,360,0.1899999976158142,0.27525000534951694,2.018411,2.33839235,16.670000000000073,1,0,0
grid,phone-3x,pan,shader,360,0.14999999850988388,0.20499999821186066,0.7587755,0.8699080499999999,16.670000000000073,1,0,0
grid,phone-3x,pan,baseline,360,0.6899999976158142,1.2260000012815,0.797031,0.9668120000000001,16.670000000000073,1,0,0
grid,phone-3x,zoom,texture,360,0.9024999998509884,1.2552500024437905,1.235208,1.99073425,16.670000000000073,1,1,0
grid,phone-3x,zoom,shader,360,0.14999999850988388,0.19525000043213372,0.763385,0.8772417,16.670000000000073,1,0,0
grid,phone-3x,zoom,baseline,360,0.380000002682209,0.6752499971538782,0.529166,0.6167702500000001,16.670000000000073,1,0,0
scene,desktop-1x,pan,texture,360,0.8100000023841858,1.0702500075101853,1.4947915,1.6976353,16.670000000000073,3,0,0
scene,desktop-1x,pan,shader,360,0.6524999998509884,0.995250004529953,1.4660410000000001,1.6719426,16.670000000000073,4,0,0
scene,desktop-1x,pan,baseline,360,4.240000002086163,6.740500001981855,1.5660409999999998,2.28597345,16.670000000000073,4,0,0
scene,desktop-1x,zoom,texture,360,0.7349999994039536,1.7709999959915879,1.0606245,1.33564235,16.670000000000073,1,1,0
scene,desktop-1x,zoom,shader,360,0.6150000020861626,1.7455000020563616,1.056692,1.30441595,16.670000000000073,2,0,0
scene,desktop-1x,zoom,baseline,360,1.5125000029802322,4.183749995008114,0.9309890000000001,1.2114190000000002,16.670000000000073,2,0,0
scene,desktop-2x,pan,texture,360,0.7175000011920929,1.0702500075101853,6.268775,7.4024526,50,3,0,0
scene,desktop-2x,pan,shader,360,0.6600000001490116,0.9755000013858081,4.6114575,6.21377555,50,4,0,0
scene,desktop-2x,pan,baseline,360,5.139999996870756,7.975249994546175,4.619400499999999,6.2747022,50,4,0,0
scene,desktop-2x,zoom,texture,360,0.7700000032782555,2.7715000025928025,4.588671,6.1180641,50,1,1,0
scene,desktop-2x,zoom,shader,360,0.5925000011920929,2.4289999969303615,4.154218,5.9316091,50,2,0,0
scene,desktop-2x,zoom,baseline,360,1.8999999985098839,4.491499999538066,3.5183065,5.1563169,50,2,0,0
scene,phone-3x,pan,texture,360,0.3825000002980232,0.5852499935775995,2.379531,2.6877002500000002,16.670000000000073,1,0,0
scene,phone-3x,pan,shader,360,0.36250000074505806,0.5952499918639661,1.1142444999999999,1.3843402500000002,16.670000000000073,2,0,0
scene,phone-3x,pan,baseline,360,0.9249999970197678,1.6002500016242267,1.1151555,1.47083245,16.670000000000073,2,0,0
scene,phone-3x,zoom,texture,360,1.2549999989569187,2.2082500051707035,1.4556765,2.37582275,33.32999999999993,1,1,0
scene,phone-3x,zoom,shader,360,0.4699999988079071,1.225250005722047,1.0704945000000001,1.4047282500000002,33.32999999999993,2,0,0
scene,phone-3x,zoom,baseline,360,0.6050000078976154,1.2035000029951342,0.812317,1.1862962000000001,16.670000000000073,2,0,0
